,0.000000,1.000000,2.000000,3.000000,4.000000
0,5.226611,6.076943,5.844355,6.970028,6.088211
1,6.339797,6.443895,5.658565,7.731108,5.888338
2,6.213067,6.738819,5.863152,7.492692,6.083425
3,6.889012,7.46898,6.001035,7.010635,6.244859
4,6.954202,6.89168,6.112464,8.43599,6.238091
5,6.44254,7.130765,5.998848,7.225865,6.343957
6,5.251828,6.296925,5.572234,6.30825,5.759414
7,5.086422,5.352054,5.017595,7.195448,5.1276
8,5.671332,5.719104,6.746491,8.911648,6.818329
9,5.819773,5.877034,6.899766,8.990284,6.87191
10,6.665089,7.721243,7.157534,7.736851,7.310887
11,5.19968,5.091781,6.229927,8.107456,6.062086
12,6.703257,7.044667,5.706101,7.296878,5.89677
13,7.265128,8.339693,6.086824,6.018671,6.486844
14,5.954669,6.708415,5.51665,6.182174,5.546467
15,5.066161,5.509539,5.483313,7.03642,5.512067
16,4.904478,5.100015,5.651562,7.777541,5.75819
17,5.568381,6.222792,6.553355,7.922633,6.543934
18,5.209209,5.428573,5.679633,7.516985,5.730703
19,5.494894,5.843491,5.544377,7.388665,5.663576
20,7.224355,8.472099,7.653532,7.477732,7.84151
21,4.879882,5.43974,5.842452,7.474164,5.811674
22,7.177999,7.238252,6.140728,8.194268,6.268859
23,6.006352,5.95962,5.659049,7.605762,5.61556
24,6.139388,6.916934,5.564981,6.17149,5.65271
25,6.151351,6.158759,6.023191,8.282019,6.197976
26,7.12549,7.667682,6.313342,7.149789,6.57213
27,5.788422,6.790577,5.357382,5.97428,5.621307
28,6.049033,6.235534,5.434828,7.196756,5.416068
29,8.585857,9.353541,7.367651,7.223027,7.515073
30,5.857822,6.036894,5.582487,7.262263,5.577402
31,7.82223,8.588238,6.519102,6.615377,6.75983
32,6.119868,6.442302,6.626468,8.111829,6.464511
33,7.973429,9.087098,6.872148,6.368144,7.281839
34,6.187447,6.305,6.873443,8.622397,6.886624
35,7.061497,7.078052,7.739487,9.217489,7.650366
36,4.43197,4.501442,5.337682,7.750909,5.310502
37,5.406913,5.468796,6.517659,8.633897,6.651798
38,7.645724,8.255163,6.626338,7.257769,6.837679
39,7.010346,7.005069,7.058814,8.755974,7.001802
40,4.871721,5.207387,5.400255,7.110729,5.372414
41,7.371541,7.267237,7.244694,9.146804,7.503427
42,5.772458,6.812307,6.088542,6.831541,6.352187
43,8.781372,8.936053,7.759379,9.303384,7.959087
44,7.143735,7.163063,7.239856,8.671243,7.151715
45,5.78324,6.161646,5.921539,7.494538,5.848321
46,6.049201,5.768604,6.478639,8.771544,6.42161
47,6.000152,6.300874,6.175238,7.741955,6.274798
48,6.318118,6.490646,5.672226,7.503022,5.673117
49,5.679359,6.379672,6.606879,7.929143,6.761591
50,7.148377,7.587349,6.762658,8.05505,6.926932
51,5.467136,5.522794,6.705028,8.905019,6.80826
52,5.869973,5.795756,6.825388,9.3411,6.909588
53,7.470412,7.954425,6.375995,7.18326,6.288023
54,6.819394,7.202982,6.86027,8.15293,6.895566
55,8.230525,8.895983,7.195374,7.951037,7.750211
56,6.000154,6.208955,5.653949,7.188619,5.684255
57,6.161412,6.879955,5.845533,6.529,5.986322
58,6.917033,7.335864,7.136965,7.899512,7.138471
59,6.684199,7.010885,6.983656,8.554796,7.342141
60,6.01418,6.772209,5.889316,6.810359,6.115845
61,5.281161,5.57189,5.775583,7.683474,5.93532
62,5.132158,5.140763,5.96628,8.346149,5.890327
63,6.177946,6.155176,6.074691,8.413602,6.432869
64,6.073581,5.933769,5.845418,8.044911,5.701083
