,0.000000,1.000000,2.000000,3.000000,4.000000
0,2.423012,3.061662,2.509043,2.368204,2.674211
1,2.737583,3.386767,2.851797,2.682456,2.990537
2,2.545613,3.419735,2.808441,2.386687,2.94064
3,2.582796,3.437308,2.83448,2.428338,2.96047
4,2.469243,3.09768,2.591107,2.383898,2.738479
5,2.628762,3.336285,2.800047,2.46717,2.847548
6,2.857424,3.684967,3.065845,2.646041,3.222546
7,2.596201,3.240611,2.725501,2.404584,2.752221
8,2.9562,3.895765,3.273766,2.588079,3.276819
9,2.821366,3.738588,3.137042,2.655303,3.234146
10,2.699653,2.871544,2.472948,2.565934,2.45196
11,2.393817,3.283155,2.6734,2.253549,2.767898
12,2.451779,3.009059,2.456487,2.35312,2.595504
13,2.51972,3.352689,2.808683,2.36499,2.869156
14,2.318416,2.927592,2.389783,2.284841,2.507993
15,2.390641,3.032428,2.489634,2.311777,2.584488
16,2.538241,2.92009,2.476078,2.455044,2.553582
17,2.427253,2.988198,2.440501,2.298989,2.539541
18,2.471218,3.040613,2.491108,2.317775,2.547932
19,2.720575,3.328542,2.782478,2.585944,2.871323
20,2.330354,2.989738,2.416412,2.331001,2.607334
21,2.56701,3.373955,2.818756,2.24984,2.821397
22,2.354117,3.107347,2.584833,2.262766,2.592673
23,2.584082,3.548193,2.995093,2.49453,3.11465
24,2.421772,3.012533,2.460006,2.366462,2.60427
25,2.574792,3.392489,2.785055,2.359795,2.853516
26,2.69298,3.701816,3.132492,2.511119,3.28745
27,2.578846,3.149338,2.599681,2.483158,2.828391
28,2.419861,3.104973,2.541007,2.308235,2.74926
29,2.433397,3.179225,2.631677,2.575639,2.939415
30,2.801439,3.426001,2.890924,2.542262,2.936786
31,2.439361,3.136888,2.611577,2.338933,2.716158
32,2.356665,3.019744,2.43819,2.26976,2.586891
33,2.68916,3.553241,2.935726,2.428037,3.029076
34,2.610059,3.3041,2.737439,2.525882,2.947947
35,2.69753,3.389556,2.829374,2.405776,2.873132
36,2.57757,3.371005,2.787514,2.37134,2.900429
37,2.672878,3.070564,2.60758,2.660153,2.792718
38,2.384424,3.228206,2.68499,2.319639,2.791253
39,2.39289,3.130036,2.601149,2.336183,2.672948
40,2.354299,3.109437,2.527478,2.276001,2.717075
41,2.528582,3.389493,2.840505,2.41855,3.002471
42,2.602261,2.396226,2.168602,2.768754,2.349903
43,2.640413,3.452608,2.913439,2.421406,3.086124
44,2.400665,3.082117,2.520606,2.290172,2.690405
45,2.479734,2.420216,2.229236,2.607899,2.222109
46,2.492983,3.412283,2.839146,2.319699,2.880074
47,2.285124,3.076494,2.509171,2.062973,2.505089
48,2.632546,3.346189,2.807037,2.322331,2.812396
49,2.486841,3.488026,2.896508,2.265082,2.972967
50,2.413566,2.792603,2.370759,2.457153,2.707236
51,2.600689,3.395603,2.851131,2.379739,2.883921
52,2.84434,3.544973,3.060105,2.298724,2.865322
53,2.419244,3.376874,2.8024,2.230453,2.825099
54,2.82601,3.712786,3.162126,2.354292,3.046468
55,2.25279,3.098729,2.539275,2.176444,2.595671
56,2.755825,3.564566,3.038373,2.399792,2.966409
57,2.619988,2.739248,2.329771,2.83175,2.721051
58,2.611725,2.874181,2.432183,2.596674,2.58888
59,2.58121,3.338839,2.793917,2.373679,2.891613
60,2.53619,2.949798,2.4286,2.393362,2.515555
61,2.661005,3.214544,2.664465,2.531378,2.885726
62,2.701295,3.488454,2.914247,2.373729,2.950422
63,2.826267,3.370754,2.903724,2.566583,3.024228
64,2.673277,3.408223,2.867606,2.380935,2.899215
65,2.484956,3.138907,2.605186,2.470914,2.799802
66,2.322792,2.99548,2.487115,2.372398,2.622239
67,2.496846,3.295928,2.794625,2.37925,2.823674
68,2.932065,3.820667,3.256961,2.610997,3.3679
69,2.255269,2.815075,2.330176,2.424741,2.563891
70,2.525127,2.966443,2.512406,2.467831,2.585078
71,2.628595,3.552343,2.990719,2.509031,3.145142
72,2.498076,3.035492,2.566218,2.339938,2.564286
73,2.03461,2.770385,2.276382,2.056824,2.447668
74,2.061614,2.823727,2.286618,2.115984,2.419065
75,2.581918,3.354217,2.840885,2.320276,2.851665
76,2.274601,3.200519,2.627872,2.187836,2.687789
77,2.547548,3.437163,2.815999,2.288308,2.9102
78,2.598073,3.266898,2.715473,2.324579,2.654238
79,2.771534,3.923901,3.390691,2.447418,3.291718
80,2.612993,3.549112,3.03464,2.344206,2.985543
81,2.62806,3.605529,3.066752,2.341085,3.039577
82,2.893992,3.745475,3.183466,2.681496,3.264211
83,2.383888,3.06521,2.513051,2.303324,2.655846
84,2.407728,2.615376,2.224092,2.413645,2.289306
85,2.466606,3.129108,2.636781,2.307876,2.62549
86,2.231093,2.618907,2.122121,2.339592,2.384159
87,2.695966,2.494858,2.258491,2.814078,2.404939
88,2.758371,3.475426,2.911298,2.512136,3.021762
89,2.572591,3.150434,2.659921,2.721011,2.948319
90,2.534039,2.86248,2.438041,2.50226,2.639399
91,2.559447,3.191024,2.672527,2.363658,2.727273
92,2.568347,2.896089,2.452573,2.476969,2.595006
93,2.605768,2.975066,2.50449,2.540456,2.688771
94,2.534861,2.962372,2.476812,2.490817,2.558711
95,2.659053,2.751745,2.408937,2.763899,2.700947
96,2.37949,3.040103,2.539116,2.266264,2.607139
97,2.524241,3.263655,2.695584,2.308699,2.799109
98,2.450305,3.215251,2.640599,2.253926,2.635373
99,2.151,2.824178,2.320223,2.364118,2.527087
100,2.599724,3.390352,2.879227,2.310744,2.829197
101,2.297117,3.094123,2.539244,2.197206,2.507632
102,2.329957,2.71905,2.259143,2.536999,2.558209
103,2.768686,3.463499,2.926691,2.50534,2.860601
104,2.19011,3.005421,2.441132,2.102746,2.529119
105,2.33144,3.064971,2.53508,2.194198,2.56703
106,2.769023,3.644276,3.023374,2.426122,3.02884
107,2.536512,3.175357,2.651832,2.246585,2.754551
108,2.269746,3.114773,2.550855,2.118844,2.657329
109,2.568001,3.496837,2.879627,2.39761,2.956335
110,2.367725,2.977534,2.431491,2.362012,2.657931
111,2.12946,2.776249,2.289643,2.220215,2.570134
112,2.486125,3.129735,2.570852,2.443164,2.708568
113,2.230532,2.52259,2.083332,2.313846,2.380532
114,2.426896,2.744155,2.271103,2.45231,2.492859
115,2.513668,3.257578,2.77975,2.278127,2.896115
116,2.644354,3.407972,2.81582,2.51058,2.961025
117,2.547061,3.326369,2.755162,2.259564,2.815923
118,2.431359,3.070077,2.55009,2.564193,2.793995
119,2.651434,3.33902,2.797898,2.350291,2.70645
120,2.082974,2.528394,2.04421,2.149296,2.143423
121,2.428416,2.832578,2.370747,2.366548,2.56534
122,2.430581,2.426197,2.115387,2.61034,2.293128
