,0.000000,1.000000,2.000000,3.000000,4.000000
0,41450.62954,41749.916307,41748.217502,41993.712447,41689.417906
1,41450.549163,41749.83628,41748.14816,41993.634345,41689.341723
2,41450.793733,41750.079677,41748.391775,41993.860178,41689.602684
3,41450.559572,41749.813972,41748.143172,41993.627682,41689.336172
4,41451.076896,41750.357722,41748.653695,41994.157556,41689.874246
5,41451.054365,41750.351406,41748.643344,41994.145746,41689.862778
6,41450.566257,41749.852175,41748.180065,41993.664799,41689.385828
7,41450.757124,41750.020222,41748.365937,41993.843845,41689.551462
8,41450.757005,41750.055321,41748.373564,41993.82868,41689.555811
9,41450.665828,41749.966949,41748.284545,41993.741413,41689.466168
10,41450.845999,41750.110728,41748.424989,41993.916224,41689.645023
11,41450.777341,41750.066643,41748.376432,41993.848036,41689.572996
12,41450.703262,41749.975204,41748.299719,41993.772237,41689.491379
13,41451.126405,41750.392467,41748.711848,41994.193767,41689.913887
14,41450.747523,41750.032951,41748.3639,41993.819792,41689.547178
15,41450.82193,41750.095159,41748.424591,41993.891748,41689.613492
16,41451.312305,41750.604623,41748.90958,41994.375936,41690.107446
17,41450.781727,41750.055563,41748.365952,41993.853809,41689.571716
18,41450.746281,41750.019164,41748.34742,41993.814441,41689.517335
19,41450.666358,41749.975598,41748.276161,41993.752221,41689.465665
20,41450.792362,41750.057946,41748.363373,41993.848835,41689.580276
21,41451.169508,41750.476904,41748.773704,41994.252704,41689.979549
22,41451.048785,41750.325171,41748.622678,41994.117067,41689.82737
23,41450.94879,41750.233348,41748.551716,41994.009882,41689.746567
24,41450.690968,41749.94593,41748.289232,41993.758025,41689.485267
25,41450.695695,41749.972628,41748.290564,41993.77868,41689.478538
26,41450.795498,41750.101737,41748.410054,41993.883853,41689.623862
27,41450.527479,41749.822824,41748.136082,41993.618106,41689.340079
28,41450.809819,41750.107415,41748.403859,41993.881354,41689.608975
29,41450.620388,41749.912395,41748.203539,41993.696886,41689.420744
30,41450.695657,41749.989237,41748.296158,41993.77153,41689.497667
31,41451.146867,41750.431763,41748.7345,41994.23642,41689.9508
32,41450.710713,41749.980001,41748.304657,41993.779029,41689.506475
33,41450.839929,41750.111085,41748.432178,41993.92984,41689.663987
34,41450.534327,41749.82009,41748.125443,41993.627562,41689.346385
35,41450.546212,41749.822718,41748.128827,41993.622636,41689.332767
36,41450.764489,41750.057555,41748.371963,41993.846233,41689.553465
37,41450.329439,41749.609646,41747.921265,41993.408183,41689.121523
38,41450.884378,41750.171118,41748.482293,41993.968159,41689.685554
39,41450.880717,41750.158538,41748.465223,41993.95654,41689.681083
40,41450.808214,41750.108071,41748.412819,41993.906181,41689.620481
41,41450.594114,41749.880986,41748.194649,41993.676372,41689.404182
42,41450.924527,41750.191663,41748.508892,41993.972362,41689.727306
43,41451.011137,41750.307669,41748.583949,41994.113353,41689.824306
44,41450.738614,41750.018166,41748.340005,41993.815992,41689.551151
45,41451.786608,41751.044383,41749.365173,41994.860556,41690.595704
46,41450.779935,41750.052296,41748.382189,41993.858351,41689.560128
47,41451.101731,41750.382819,41748.70371,41994.175474,41689.912411
48,41450.933085,41750.199309,41748.538481,41994.015624,41689.725083
49,41450.847511,41750.116105,41748.431064,41993.914564,41689.634662
50,41450.939219,41750.201057,41748.492781,41994.029147,41689.735839
51,41451.026662,41750.292599,41748.611775,41994.088506,41689.799691
52,41451.738309,41751.016921,41749.315019,41994.8262,41690.521706
53,41450.945028,41750.234641,41748.545702,41994.032525,41689.754828
54,41451.360933,41750.650154,41748.951705,41994.444749,41690.163861
55,41450.875381,41750.143803,41748.464748,41993.947195,41689.673665
56,41451.390392,41750.679241,41748.98594,41994.467312,41690.175419
57,41450.521606,41749.783922,41748.093477,41993.561467,41689.293243
58,41450.764073,41750.037049,41748.336176,41993.832214,41689.542037
59,41451.057325,41750.327117,41748.635367,41994.130712,41689.843573
60,41450.935842,41750.201974,41748.509175,41993.984498,41689.714874
61,41450.458196,41749.736004,41748.06865,41993.534078,41689.254955
62,41450.757422,41750.034018,41748.332547,41993.829694,41689.527277
63,41451.035278,41750.32056,41748.612022,41994.130914,41689.822393
64,41451.266864,41750.549847,41748.840303,41994.346355,41690.059488
65,41450.729776,41750.00511,41748.318427,41993.807888,41689.518223
66,41450.920528,41750.191973,41748.506716,41994.000363,41689.727538
67,41450.750444,41750.041463,41748.345783,41993.829731,41689.546641
68,41450.782429,41750.083828,41748.393674,41993.876658,41689.607568
69,41450.640893,41749.935581,41748.230384,41993.721165,41689.437193
70,41451.028875,41750.293237,41748.602698,41994.11066,41689.81429
71,41450.690602,41749.999786,41748.306033,41993.78325,41689.49745
72,41451.335058,41750.639916,41748.93547,41994.425499,41690.145139
73,41451.229536,41750.502106,41748.795069,41994.283768,41690.022892
74,41451.122981,41750.388156,41748.700992,41994.177525,41689.920825
75,41451.321588,41750.610306,41748.90122,41994.394349,41690.1111
76,41450.947808,41750.22323,41748.535024,41993.993444,41689.723348
77,41450.756355,41750.04475,41748.349125,41993.843356,41689.539682
78,41450.782553,41750.087441,41748.39832,41993.8714,41689.565892
79,41451.425185,41750.712554,41749.02107,41994.495317,41690.213018
80,41451.291865,41750.576373,41748.890266,41994.366957,41690.099752
81,41451.258292,41750.550952,41748.873503,41994.339296,41690.064673
82,41450.478342,41749.802727,41748.096632,41993.575942,41689.284658
83,41450.753528,41750.027139,41748.347574,41993.831725,41689.580075
84,41450.848551,41750.129318,41748.443723,41993.92428,41689.639967
85,41450.915437,41750.201911,41748.51406,41993.995583,41689.724163
86,41450.799386,41750.075005,41748.384952,41993.861475,41689.588325
87,41451.263875,41750.533789,41748.838891,41994.336363,41690.065278
88,41450.615474,41749.889713,41748.195585,41993.692888,41689.399509
89,41450.595291,41749.876663,41748.189317,41993.67414,41689.40071
90,41450.915141,41750.199871,41748.492574,41993.998208,41689.710163
91,41451.176761,41750.450971,41748.750612,41994.247935,41689.962943
92,41450.850443,41750.120893,41748.436571,41993.92515,41689.644617
93,41450.775572,41750.04365,41748.342978,41993.848503,41689.562844
94,41450.891534,41750.184461,41748.486407,41993.979851,41689.686616
95,41450.926848,41750.208998,41748.523084,41994.003049,41689.7265
96,41450.86109,41750.133306,41748.456787,41993.964365,41689.651398
97,41450.751725,41750.023876,41748.341087,41993.807903,41689.54983
98,41450.862394,41750.151739,41748.443651,41993.935094,41689.647289
99,41450.874323,41750.137654,41748.457056,41993.932676,41689.661948
100,41451.352948,41750.63098,41748.912919,41994.421924,41690.135851
101,41450.884598,41750.158313,41748.480324,41993.941958,41689.67455
102,41450.66804,41749.949504,41748.260583,41993.754818,41689.493354
103,41450.828528,41750.083146,41748.420989,41993.888705,41689.605314
104,41450.96808,41750.258265,41748.577427,41994.041604,41689.795679
105,41450.823749,41750.088005,41748.410018,41993.899956,41689.604243
106,41450.525168,41749.834641,41748.145047,41993.619826,41689.331117
107,41451.144989,41750.405696,41748.71157,41994.210368,41689.911668
108,41450.938944,41750.211186,41748.514897,41994.014621,41689.730452
109,41450.619209,41749.921951,41748.243439,41993.707239,41689.440948
110,41450.594526,41749.836324,41748.176416,41993.649451,41689.379759
111,41450.964426,41750.237242,41748.532816,41994.046665,41689.759406
112,41450.72018,41749.992275,41748.317197,41993.782458,41689.522573
113,41450.875491,41750.142126,41748.456916,41993.945396,41689.675003
114,41450.541106,41749.81539,41748.137442,41993.613701,41689.34362
115,41451.220044,41750.510702,41748.805318,41994.314166,41690.028595
116,41450.456649,41749.751351,41748.065868,41993.552866,41689.247625
117,41451.190198,41750.478879,41748.770705,41994.272338,41689.981105
118,41450.644353,41749.926637,41748.22604,41993.701977,41689.441808
119,41450.829086,41750.096535,41748.415631,41993.894184,41689.60026
120,41451.023068,41750.293548,41748.604963,41994.082222,41689.811331
