,0.000000,1.000000,2.000000,3.000000,4.000000
0,0.550659,1.041536,1.161857,0.616076,0.935707
1,0.683888,0.855846,0.798026,0.854363,1.110959
2,0.417782,0.934745,0.972232,0.771272,1.154658
3,0.372574,1.016655,0.829652,0.742043,1.263625
4,0.657692,0.873835,0.543578,1.146693,1.094336
5,1.184954,0.767982,0.681101,1.060162,0.758806
6,1.080948,1.147562,0.872086,0.763353,0.595185
7,1.207418,1.069685,1.092419,0.720694,0.416408
8,0.578944,0.838245,0.664432,0.801083,1.357327
9,0.825727,1.023811,0.884945,0.647621,0.963207
10,0.760057,0.806604,0.783881,0.970456,1.015278
11,0.152898,0.854242,0.783009,0.76477,1.57682
12,0.153547,0.932792,1.22631,0.680674,1.202149
13,0.871777,0.926436,0.55415,0.999822,1.007367
14,0.804526,0.919523,0.924569,0.782722,0.922124
15,1.137914,1.124378,0.917375,0.73471,0.558293
16,0.556234,0.836272,0.91333,0.792967,1.170171
17,1.355177,1.130613,0.975275,0.848765,0.25568
18,0.670121,0.835162,0.573355,1.168148,1.075276
19,1.012245,0.969225,0.938085,0.799896,0.743911
20,0.940219,0.841768,0.688563,0.995676,0.918128
21,0.882713,0.931806,0.773716,0.828579,0.946998
22,0.750621,0.765821,1.003606,0.786547,1.01829
23,0.962386,0.757825,0.866254,0.698677,1.061113
24,0.477481,0.84443,0.790434,0.609869,1.47339
25,0.748134,0.837612,0.59857,0.891254,1.219538
26,0.684514,1.01637,0.840109,0.882996,0.918338
27,0.423587,0.798772,0.84819,0.871016,1.288401
28,0.934285,0.91828,1.43044,0.125259,0.928771
29,0.986825,0.953119,0.859354,0.950802,0.683413
30,0.811363,0.961057,0.682584,0.927302,0.971533
31,0.647989,0.973688,0.6324,1.202563,0.898481
32,1.18325,0.933129,0.977827,0.721869,0.643796
33,0.778116,0.968688,0.664501,0.929793,1.002179
34,1.113531,1.038885,1.10894,0.673914,0.533169
35,1.089742,0.966366,0.632997,0.9118,0.822497
36,0.767689,0.781694,0.827855,0.888233,1.059916
37,0.675999,0.883752,0.663458,1.104992,1.004848
38,0.734206,0.979722,0.972072,0.613264,1.018978
39,0.50088,0.924208,0.964273,0.717936,1.154179
40,0.616288,0.969888,0.753053,1.058273,0.938105
41,0.65511,0.9733,0.77721,0.753621,1.133221
42,1.307203,1.036515,1.042884,0.893219,0.274933
43,0.668464,0.826124,1.029214,0.710195,1.0668
44,0.640433,0.896616,0.801412,0.81208,1.139538
45,0.706577,0.838375,0.720086,0.924737,1.118476
46,0.973724,1.044297,0.903924,0.917474,0.605831
47,0.847223,0.859746,0.36578,1.207912,1.071407
48,1.027956,1.005666,0.99583,0.837963,0.585264
49,0.915262,0.881067,0.383874,1.150733,1.036158
50,0.501635,0.795557,0.792011,0.907012,1.253843
51,0.358806,0.838044,1.13683,0.622656,1.257495
52,1.15226,1.19967,0.923432,0.869666,0.370888
53,0.959039,0.878934,0.936287,0.793089,0.827009
54,0.664444,0.973316,0.221934,1.11036,1.308955
55,1.190305,0.937023,0.304615,1.314521,0.727126
56,0.80661,0.858496,1.052636,0.549936,1.050149
57,1.073662,1.005401,1.309518,0.285363,0.731701
58,0.685657,0.817941,0.843713,0.819983,1.13019
59,0.725111,0.921404,0.513272,0.966617,1.17776
60,1.213053,0.96651,0.972298,0.759446,0.569092
61,0.955255,0.849471,0.934033,0.769646,0.875004
62,1.090157,0.964711,0.857755,0.774232,0.743925
63,0.842982,0.673811,0.766204,0.965727,1.08536
64,1.254044,0.861604,0.830583,0.772707,0.736775
65,0.333337,0.925211,0.966614,0.962081,1.073435
66,0.856744,1.025242,0.984844,0.809637,0.723987
67,0.725981,0.949492,1.014483,0.651925,0.98287
68,1.570345,1.215367,0.909125,0.76234,0.157693
69,1.048547,0.979745,0.876269,0.655124,0.841645
70,0.923035,0.984944,1.313169,0.641068,0.56759
71,0.895617,0.739211,0.820786,0.703938,1.158677
72,0.685694,0.968643,0.981239,0.621158,1.048691
73,0.90706,0.849398,0.605601,0.968418,1.0279
74,0.810525,0.974119,0.839265,0.750456,0.971172
75,0.942652,0.88324,0.825051,0.768454,0.949661
76,0.676226,0.915498,0.873092,0.770216,1.071229
77,0.765256,0.890972,0.65644,0.809355,1.180245
78,0.785259,0.828749,0.894471,0.737915,1.073162
79,1.050537,0.954547,0.091935,1.36036,0.954929
80,1.245085,1.021909,0.863368,0.927627,0.456353
81,0.271383,0.838576,0.944601,0.675398,1.44038
82,0.816244,0.817769,1.122445,0.564893,1.005781
83,0.619625,0.951056,0.852165,0.804985,1.07155
84,0.869037,0.973997,0.608505,0.951068,0.962991
85,0.563403,0.873061,0.77453,1.000831,1.084561
86,1.000247,1.033387,0.756596,0.742837,0.862594
87,0.711266,0.985679,0.61017,1.135343,0.91594
88,1.150219,0.660476,1.114942,0.642542,0.841857
89,1.005841,0.977246,0.868679,0.81559,0.75112
90,0.784619,0.770814,0.853756,0.938097,0.994296
91,1.556548,1.04519,1.3053,0.477153,0.202273
92,0.709112,0.803513,0.982907,0.853086,0.980311
93,1.0651,0.886824,0.890881,0.852526,0.734849
94,0.694955,0.892197,1.065113,0.780312,0.905795
95,0.754282,0.830522,0.639766,0.828533,1.237063
96,0.411963,0.902521,0.885489,0.81983,1.22007
97,0.743256,0.906876,1.024758,0.551095,1.078245
98,0.720721,0.744683,0.628847,0.964735,1.231317
99,0.307813,0.814394,1.071603,0.689294,1.314922
100,0.878404,0.920641,0.801355,0.820779,0.942229
