,0.000000,1.000000,2.000000,3.000000,4.000000
0,-31660.813518,8497.905761,-5944.729024,-1681.648856,3164.300928
1,-37258.867486,9905.039856,-9209.014946,-1337.873709,-2497.23574
2,-25772.148302,4704.290834,-157.408009,-1629.179344,6038.064871
3,-37408.709152,4129.048373,-4910.816318,-5099.814996,2944.845489
4,-24694.850711,1774.910477,-6598.780693,1992.916045,4234.869818
5,-19615.781822,1426.137996,-1979.415441,2508.786931,2340.436945
6,-23371.939252,3250.913863,-1552.073771,2707.531927,3754.30881
7,-32931.217575,13811.118687,-5053.334862,-14799.509051,7092.749107
8,-17934.702282,2780.782708,1673.662465,3275.928984,4445.946876
9,-25080.767759,2515.178671,-4005.970885,-706.552787,1968.644838
10,-45978.407078,22141.483116,-5184.671063,-9974.940465,1028.600385
11,-25873.553327,4071.188191,589.277574,6338.628973,187.268272
12,-24936.124404,4152.330293,-3996.198731,1270.934719,3523.262422
13,-20777.161134,1598.477553,-2350.42866,4888.58936,1407.244468
14,-34833.476444,5114.849579,-9942.244259,3244.729693,3069.413375
15,-45577.003669,6144.06914,-16416.814416,754.14488,2273.761803
16,-22211.768402,-183.539472,-6352.142123,3969.005547,2946.382846
17,-40534.468828,10763.041734,-6766.252966,2649.063562,419.59032
18,-30465.974658,7646.153224,-1883.618157,5261.042942,-1963.953397
19,-27431.828306,3172.218222,-6751.090418,1777.93949,-724.225639
20,-31746.105244,2615.501465,-8838.964542,1387.434391,-1553.806638
21,-20459.47594,2916.107704,-2412.542091,1936.242651,5214.694909
22,-21113.679643,300.464576,-6608.802244,95.010217,1777.517873
23,-27524.453442,-2380.564499,-5237.503127,617.431476,-39.232411
24,-32869.569624,2329.68541,-9620.578103,-1279.821849,2328.452555
25,-33115.098305,7638.11688,-10211.074995,4436.135554,1000.030537
26,-32938.069987,-3265.932923,-987.87566,2583.17559,-4051.798888
27,-31237.336541,3414.556379,-13159.368484,937.400431,2949.003641
28,-30740.04827,612.999391,-6399.40588,-3672.401398,6353.116575
29,-39835.573411,-1838.800779,-9461.798406,-2912.280911,-3930.453801
30,-31216.921457,2683.978488,-11302.460746,-317.041681,8246.260065
31,-23277.112954,-1703.98159,-5295.566344,5635.3704,3444.243069
32,-40679.037653,-6008.088443,-13988.112554,928.3355,888.603873
33,-24561.820077,-1636.003396,-3115.387248,8498.155509,2300.834493
34,-34046.150667,6887.097871,-1924.456992,-1673.460875,3905.227884
35,-40100.664448,16613.952963,-3351.094759,-6967.235628,5107.191349
36,-28204.313178,2210.340957,-2246.859505,3335.195943,4252.826632
37,-47967.356878,10554.435877,-1399.027327,2944.382184,-527.570923
38,-28533.534918,3525.437256,-212.920849,4807.511921,5619.348439
39,-28926.299702,7205.408735,721.812453,3361.312519,4698.20262
40,-24576.244687,5492.382125,3789.650661,8339.983403,1323.864996
41,-25859.971265,2403.214774,2091.293395,4345.322152,2822.266537
42,-43354.307326,13685.220224,-3399.679259,-5870.461159,5987.14852
43,-23865.129939,761.959607,3354.202211,4159.833242,4425.105078
44,-29614.09413,5940.503809,-1827.949203,2544.579114,5677.477009
45,-22412.030205,503.615316,-5431.439713,4593.360622,1844.464659
46,-43823.81292,5588.482532,-2865.351778,-733.807109,565.754293
47,-34510.123705,2481.135428,-5919.534266,4286.066063,5999.523683
48,-29464.367152,3043.809651,-3165.918755,1968.860895,2268.25042
49,-35907.57281,-4416.928931,-7120.24034,-1133.552866,-3921.731475
