,0.000000
0,-2.895362
1,-2.844793
2,-3.147318
3,-3.666543
4,-3.027236
5,-3.307032
6,-2.365508
7,-3.110997
8,-2.822219
9,-2.787217
10,-2.381939
11,-2.866421
12,-3.112069
13,-3.190413
14,-3.327196
15,-2.867689
16,-2.582138
17,-2.565352
18,-3.108725
19,-2.98989
20,-3.353575
21,-2.180609
22,-3.296494
23,-3.072861
24,-2.632026
25,-3.208361
26,-3.35418
27,-3.015806
28,-3.490896
29,-3.962467
30,-3.022992
31,-3.415691
32,-2.981533
33,-3.049727
34,-3.04938
35,-3.641028
36,-1.921129
37,-2.280767
38,-3.085289
39,-3.574112
40,-2.783593
41,-3.909064
42,-3.052972
43,-3.686731
44,-3.852633
45,-2.686125
46,-2.587101
47,-3.778991
48,-2.791722
49,-2.388626
50,-3.278356
51,-2.855074
52,-2.540764
53,-3.142132
54,-3.124781
55,-3.682291
56,-2.932261
57,-2.603579
58,-3.022345
59,-3.208572
60,-2.857432
61,-3.296149
62,-2.286025
63,-3.283712
64,-2.553776
65,-3.191501
66,-3.299503
67,-3.22928
68,-3.102173
69,-3.518542
70,-3.56448
71,-3.08414
72,-1.789404
73,-3.540238
74,-3.101465
75,-3.122487
76,-3.555193
77,-2.998248
78,-3.501017
79,-2.805044
80,-2.732836
81,-3.685915
82,-3.209113
83,-3.005245
84,-2.762537
85,-2.9893
86,-2.458021
87,-2.545246
88,-2.615535
89,-3.856139
90,-2.7926
91,-2.931617
92,-3.742007
93,-2.424664
94,-3.421505
95,-3.485293
96,-2.71642
97,-2.438915
98,-2.281177
99,-3.653465
100,-2.466679
101,-3.500584
102,-3.331575
103,-3.501745
104,-3.505986
105,-2.541518
106,-2.40246
107,-2.533535
108,-2.79979
109,-2.709939
110,-2.482594
111,-3.148215
112,-3.291288
113,-2.33424
114,-2.979141
115,-2.964811
116,-2.724717
117,-2.949029
118,-3.227125
119,-2.581712
120,-2.981517
121,-3.210456
122,-2.727297
123,-3.232981
124,-3.411554
125,-2.396943
126,-3.182684
127,-3.069804
128,-2.865175
129,-3.12017
130,-1.95724
131,-2.939877
132,-3.365829
133,-3.450823
134,-2.437776
135,-3.497746
136,-3.203404
137,-2.155008
138,-3.372271
139,-4.175211
140,-2.206089
141,-2.365618
142,-2.217109
143,-3.133273
144,-3.108951
145,-3.60785
146,-2.928657
147,-3.070362
148,-3.216464
149,-2.919519
150,-3.361619
151,-3.412479
152,-4.234769
153,-3.031347
154,-3.224683
155,-2.54545
156,-3.150187
157,-2.795463
158,-3.028582
159,-3.021432
160,-3.44573
161,-3.399992
162,-3.252314
163,-2.735405
164,-2.525581
165,-2.371002
166,-2.087594
167,-3.232645
168,-2.697639
169,-3.290037
170,-3.34577
171,-3.627406
172,-3.512765
173,-3.306305
174,-3.39237
175,-3.110259
176,-3.086341
177,-2.218927
178,-3.296015
179,-3.184984
180,-3.079798
181,-3.192988
182,-3.39075
183,-2.591626
184,-3.408083
185,-2.895587
186,-3.357714
187,-3.396409
188,-2.639849
189,-3.184493
190,-3.236419
191,-2.313263
192,-2.848106
193,-2.435309
194,-2.194238
195,-2.666725
196,-3.019413
197,-2.48707
198,-2.566346
199,-2.400253
200,-2.504523
201,-3.138071
202,-3.448859
203,-2.567638
204,-2.463916
205,-3.546188
206,-3.359127
207,-3.395248
208,-2.928801
209,-3.801803
210,-2.586287
211,-2.12812
212,-2.097389
213,-3.962758
214,-3.383359
215,-3.057055
216,-2.970781
217,-3.940675
218,-2.041959
219,-2.747394
220,-2.669923
221,-3.206077
222,-2.642109
223,-3.23793
224,-2.21358
225,-3.250777
226,-3.235209
227,-2.270028
228,-2.173886
229,-3.930519
230,-2.837183
231,-2.145829
232,-2.27461
233,-2.882864
234,-2.502241
235,-2.776633
236,-2.77014
237,-2.650109
238,-3.193637
239,-2.722816
240,-2.660168
241,-2.488624
242,-2.88951
243,-2.379453
244,-3.435448
245,-3.038245
246,-3.245074
247,-3.119135
248,-2.964893
249,-2.876913
250,-1.789635
251,-2.555237
252,-2.693077
253,-2.998553
254,-2.054445
255,-2.65012
256,-2.091727
257,-2.468592
258,-2.822897
259,-2.360001
260,-2.96581
261,-2.500223
262,-2.425219
263,-3.006028
264,-2.603763
265,-2.217639
266,-2.581907
267,-1.835475
268,-2.700589
269,-2.812224
270,-2.016327
271,-2.650022
272,-2.655432
273,-2.141773
274,-2.488169
275,-2.246917
276,-3.13018
