,0.000000
0,-9.431685
1,-10.926982
2,-7.638959
3,-9.158927
4,-8.772787
5,-6.732066
6,-5.63799
7,-6.903706
8,-5.410109
9,-6.733595
10,-8.425596
11,-5.935847
12,-7.103082
13,-6.341462
14,-9.555511
15,-9.162464
16,-8.181113
17,-9.261958
18,-6.579643
19,-7.326219
20,-7.76952
21,-7.96618
22,-7.647421
23,-8.824115
24,-8.876986
25,-9.798562
26,-10.718568
27,-10.806361
28,-11.444632
29,-9.557764
30,-11.521861
31,-10.291297
32,-8.52161
33,-7.142797
34,-7.159035
35,-9.026747
36,-8.038875
37,-9.462973
38,-7.242805
39,-8.917117
40,-5.555951
41,-5.605044
42,-10.802527
43,-7.237444
44,-9.08221
45,-9.070857
46,-9.556684
47,-8.865975
48,-7.926737
49,-11.593642
50,-13.844894
51,-8.857612
52,-12.821202
53,-7.95343
54,-7.008619
55,-8.656379
56,-3.603179
57,-7.784835
58,-8.621769
59,-4.155223
60,-4.007729
61,-7.006508
62,-3.253069
63,-9.68997
64,-7.44339
65,-5.807509
66,-8.08894
67,-7.647727
68,-11.603305
69,-9.863747
70,-7.611654
71,-9.022646
72,-6.15389
73,-11.750983
74,-7.489702
75,-10.090536
76,-6.0652
77,-6.829713
78,-7.921956
79,-9.692939
80,-9.409627
81,-9.477552
82,-10.968871
83,-10.181338
84,-8.168276
85,-8.061319
86,-8.481843
87,-5.283324
88,-6.534865
89,-5.970807
90,-8.081331
91,-4.878516
92,-8.561006
93,-7.174876
94,-4.498447
95,-6.732727
96,-6.65279
97,-8.641471
98,-8.303284
99,-10.272711
100,-7.525528
101,-8.94485
102,-8.011089
103,-8.905809
104,-9.666507
105,-9.877001
106,-8.273033
107,-13.638684
108,-9.11827
109,-6.584187
110,-8.916295
111,-10.474962
112,-5.732706
113,-10.047198
114,-8.962475
115,-13.095075
116,-9.302843
117,-6.397809
118,-10.173716
119,-9.355732
120,-9.479673
121,-11.882692
122,-9.142531
123,-8.993611
124,-10.996609
125,-7.770486
126,-9.532699
127,-10.174097
128,-6.862255
129,-5.733109
130,-9.211884
131,-8.354233
132,-6.472486
133,-6.403102
134,-8.238564
135,-8.157865
136,-7.723122
137,-6.174684
138,-10.193305
139,-10.59672
140,-8.801966
141,-8.021407
142,-7.387726
143,-7.987192
144,-6.057864
145,-8.667609
146,-7.270686
147,-6.599354
148,-7.161969
149,-7.909012
150,-7.26262
151,-9.126792
152,-7.687032
153,-11.866722
154,-10.764592
155,-10.783957
156,-8.849532
157,-8.41986
158,-11.360687
159,-11.630706
160,-8.284479
161,-8.764965
162,-8.444805
163,-10.115756
164,-6.995901
165,-7.008007
166,-8.702963
167,-7.305167
168,-6.449906
169,-6.366119
170,-7.088341
171,-6.326865
172,-8.897304
173,-9.58669
174,-7.371126
175,-4.888606
176,-9.193758
177,-7.765793
178,-4.941063
179,-7.726735
180,-4.976856
181,-5.011021
182,-8.745779
183,-7.413416
184,-6.379379
185,-7.763487
186,-7.443981
187,-5.911467
188,-6.057985
189,-7.660277
190,-7.035445
191,-7.772043
192,-9.077396
193,-6.872829
194,-8.670011
195,-8.592228
196,-10.253491
197,-8.156439
198,-13.977863
199,-9.325285
200,-10.613717
201,-9.427968
202,-6.647329
203,-7.800676
204,-12.540921
205,-7.268205
206,-7.729427
207,-4.974841
208,-8.791163
209,-10.653017
210,-8.165651
211,-9.963961
212,-9.690164
213,-9.264908
214,-9.740942
215,-8.032961
216,-7.353769
217,-8.5874
218,-7.328819
219,-7.270382
220,-7.371669
221,-8.588954
222,-8.8858
223,-7.719067
224,-7.852771
225,-6.936116
226,-7.055139
227,-7.47408
228,-12.115894
229,-9.37197
230,-12.327744
231,-8.588273
232,-9.24054
233,-9.238697
234,-9.387605
235,-7.473857
236,-8.556527
237,-9.759476
238,-8.920072
239,-7.229513
240,-9.719072
241,-9.737299
242,-10.472456
243,-8.448883
244,-11.472915
245,-9.068929
246,-8.360501
247,-9.858864
248,-11.239839
249,-11.091764
250,-11.470554
251,-10.171678
252,-9.064768
253,-7.253031
254,-6.374154
255,-8.218393
256,-7.237846
257,-7.991405
258,-8.419752
259,-10.351474
260,-8.776704
261,-5.400334
262,-9.536773
263,-10.188503
264,-9.488816
265,-11.691589
266,-9.380324
267,-8.467806
268,-10.692225
269,-9.575651
270,-10.773045
271,-8.54954
272,-10.669404
273,-9.03628
274,-8.364883
275,-5.901452
276,-6.432488
277,-7.31714
278,-6.54592
279,-4.86414
280,-5.290273
281,-8.429415
282,-7.888795
283,-6.134819
284,-8.334022
285,-10.362766
286,-9.804382
287,-9.627664
288,-10.724788
289,-9.284258
290,-7.561428
291,-9.248659
292,-8.073684
293,-9.176038
294,-9.314463
295,-9.97503
296,-9.417682
297,-9.553004
298,-8.344165
299,-9.565567
300,-8.456671
301,-8.451464
302,-9.897484
303,-9.217304
304,-6.825098
305,-7.278665
306,-6.406842
307,-8.91596
308,-7.053336
309,-6.974666
310,-8.432817
311,-9.657022
312,-5.595223
313,-6.587648
314,-12.53915
315,-8.85907
316,-9.381713
317,-9.641613
318,-13.548188
319,-9.859917
320,-10.580053
321,-10.135524
322,-10.909748
323,-10.191458
324,-8.191107
325,-10.460977
326,-8.886186
327,-8.093743
328,-8.688455
329,-10.534037
330,-8.080341
331,-11.430885
332,-8.161156
333,-9.430007
334,-9.593551
335,-5.836084
336,-7.872876
337,-8.653466
338,-9.30261
339,-7.974103
340,-8.533606
341,-11.179355
342,-11.869682
343,-8.993821
344,-7.467808
345,-8.924041
346,-9.958999
347,-10.06703
348,-8.517668
349,-9.591928
350,-9.864917
351,-8.498418
352,-8.860377
353,-9.030263
354,-8.600204
355,-9.018941
356,-10.81218
