,0.000000
0,2.140113
1,3.964857
2,4.288482
3,5.007204
4,5.110031
5,4.38085
6,2.904113
7,3.609881
8,1.579032
9,1.808181
10,2.45618
11,1.757546
12,5.125175
13,5.735273
14,3.741069
15,2.52764
16,1.986971
17,1.861618
18,2.403538
19,3.302898
20,2.924565
21,1.901937
22,5.131651
23,4.197608
24,4.292061
25,3.956548
26,5.191744
27,4.095369
28,4.466499
29,5.757276
30,3.756648
31,6.319329
32,2.328039
33,5.712179
34,2.509469
35,2.450224
36,1.777617
37,0.869148
38,5.492314
39,3.925797
40,2.658864
41,3.445494
42,3.266119
43,5.585676
44,3.682617
45,2.826675
46,2.327507
47,3.113579
48,4.207407
49,2.049516
50,3.823215
51,1.102367
52,1.394595
53,5.625106
54,3.380181
55,4.933076
56,4.155199
57,3.332624
58,2.436521
59,2.466333
60,3.345834
61,2.829377
62,1.944791
63,3.496394
64,3.619664
65,3.679014
66,5.234364
67,4.245864
68,4.094388
69,3.563442
70,5.090232
71,4.903666
72,1.963052
73,6.199716
74,2.176329
75,3.530774
76,4.639045
77,3.43506
78,2.208885
79,6.587696
80,5.744645
81,4.841658
82,2.647222
83,2.01639
84,2.305482
85,3.585414
86,4.824979
87,1.822727
88,2.390363
89,2.436206
90,3.369814
91,2.483216
92,5.218416
93,3.630037
94,3.08142
95,2.751683
96,3.007827
97,2.741518
98,2.50002
99,4.031325
100,2.828908
101,5.477426
102,3.308359
103,2.96821
104,5.69996
105,4.121531
106,2.294398
107,2.240211
108,4.700815
109,2.584768
110,2.907211
111,4.492977
112,2.162802
113,3.569768
114,3.24813
115,5.376836
116,2.93935
117,5.16081
118,5.206254
119,2.864216
120,5.001411
121,4.245076
122,2.677012
123,5.559455
124,3.561946
125,1.301201
126,1.929471
127,4.057241
128,2.565684
129,5.595415
130,3.02138
131,3.102803
132,3.166328
133,2.602486
134,4.675032
135,4.123487
136,3.639077
137,3.273079
138,4.015466
139,4.676315
140,2.915828
141,4.432964
142,2.135744
143,3.831861
144,3.51303
145,6.282092
146,4.247087
147,3.560868
148,6.086601
149,4.409616
150,3.93022
151,3.396339
152,4.438573
153,4.664763
154,3.439104
155,1.666426
156,2.399357
157,3.961537
158,4.413414
159,5.748455
160,3.672723
161,2.81481
162,4.290799
163,3.074128
164,1.612099
165,0.970345
166,1.683589
167,5.090976
168,2.79195
169,6.088989
170,3.534596
171,5.599735
172,3.40006
173,3.938774
174,4.196616
175,2.636056
176,3.471466
177,2.726931
178,3.387892
179,1.953391
180,3.76813
181,3.448424
182,3.357532
183,3.680386
184,3.818222
185,2.02783
186,4.368086
187,5.960665
188,2.516025
189,3.01205
190,2.652934
191,3.20308
192,3.501112
193,2.363015
194,5.557738
195,1.006152
196,5.056781
197,2.27541
198,2.631128
199,3.927639
200,1.378934
201,5.543106
202,2.500686
203,1.759065
204,4.836023
205,5.984209
206,3.983855
207,3.699948
208,4.217782
209,3.304234
210,1.298118
211,2.157651
212,1.813154
213,2.774743
214,4.341211
215,1.879025
216,4.326944
217,2.1322
218,2.302452
219,0.382766
220,1.380151
221,4.935037
222,2.473874
223,2.239545
224,2.083997
225,4.697454
226,1.714723
227,2.190384
228,1.900768
229,2.716691
230,3.691058
231,2.23286
232,2.774665
233,1.661048
234,3.296884
235,1.518991
236,2.125625
237,1.699056
238,4.08074
239,1.783376
240,2.86991
241,2.897508
242,2.424948
243,1.780262
244,4.055879
245,3.86029
246,2.333883
247,3.610441
248,2.459291
249,0.594724
250,0.669612
251,3.20689
252,1.796198
253,2.525094
254,1.763739
255,4.505109
256,1.824622
257,2.135055
258,2.252434
259,1.269527
260,3.106604
261,1.826689
262,1.688042
263,2.75969
264,3.346776
265,2.046288
266,2.523798
267,0.806812
268,1.299818
269,2.359868
270,1.751586
271,1.145396
272,2.212564
273,0.100088
274,4.443067
275,1.821637
276,2.820264
277,2.827375
278,1.072169
279,2.708532
280,4.214669
281,2.775055
282,1.177625
283,3.674306
284,1.728597
285,5.096357
286,2.851893
287,1.778315
288,2.56162
289,2.33995
290,0.838612
291,1.323484
292,2.230622
293,1.928047
294,2.435701
295,3.518221
296,2.843859
