,0.000000
0,-31660.813518
1,-37258.867486
2,-25772.148302
3,-37408.709152
4,-24694.850711
5,-19615.781822
6,-23371.939252
7,-32931.217575
8,-17934.702282
9,-25080.767759
10,-45978.407078
11,-25873.553327
12,-24936.124404
13,-20777.161134
14,-34833.476444
15,-45577.003669
16,-22211.768402
17,-40534.468828
18,-30465.974658
19,-27431.828306
20,-31746.105244
21,-20459.47594
22,-21113.679643
23,-27524.453442
24,-32869.569624
25,-33115.098305
26,-32938.069987
27,-31237.336541
28,-30740.04827
29,-39835.573411
30,-31216.921457
31,-23277.112954
32,-40679.037653
33,-24561.820077
34,-34046.150667
35,-40100.664448
36,-28204.313178
37,-47967.356878
38,-28533.534918
39,-28926.299702
40,-24576.244687
41,-25859.971265
42,-43354.307326
43,-23865.129939
44,-29614.09413
45,-22412.030205
46,-43823.81292
47,-34510.123705
48,-29464.367152
49,-35907.57281
50,-24308.863226
51,-27005.789203
52,-22599.486903
53,-40588.990543
54,-22358.871927
55,-46184.806693
56,-13774.809844
57,-31749.698635
58,-31028.753815
59,-16040.836025
60,-20973.46198
61,-22644.989946
62,-15176.182309
63,-21742.355515
64,-21764.551772
65,-26581.563458
66,-29000.490628
67,-30787.73746
68,-30216.219737
69,-37921.301564
70,-30053.787938
71,-28661.709302
72,-18363.60195
73,-35770.766838
74,-26958.983856
75,-22647.576293
76,-27995.247447
77,-30696.902329
78,-32733.70898
79,-24612.155234
80,-23560.621424
81,-25165.58857
82,-36890.814947
83,-37590.571933
84,-42290.024025
85,-40543.380798
86,-37872.392382
87,-19520.182316
88,-30468.614135
89,-29897.233912
90,-24709.852383
91,-17562.871355
92,-28442.794716
93,-24886.245709
94,-25511.158714
95,-21154.371271
96,-27475.11924
97,-32477.825308
98,-36615.627755
99,-52652.196101
100,-26401.420195
101,-44429.768347
102,-31128.163853
103,-41594.618036
104,-36797.088054
105,-40834.352059
106,-36034.19232
107,-31473.195622
108,-34772.932857
109,-33774.040048
110,-32597.949422
111,-32946.889148
112,-27752.505486
113,-32481.278692
114,-43370.824671
115,-28401.157034
116,-43894.381389
117,-23180.590004
118,-46677.938867
119,-45237.266117
120,-30653.856063
121,-26475.697205
122,-31874.96057
123,-29866.614772
124,-23000.39533
125,-27756.778923
126,-51384.694039
127,-46610.360851
128,-39633.377219
129,-25563.379228
130,-20430.001455
131,-32360.999187
132,-24495.698162
133,-22525.628201
134,-28953.161309
135,-33575.137303
136,-28802.854604
137,-22758.112136
138,-32069.174896
139,-36305.436147
140,-29553.923408
141,-24486.559027
142,-29376.999095
143,-34448.701396
144,-25530.234188
145,-23462.563467
146,-23472.833946
147,-34660.796431
148,-26789.064273
149,-35984.136704
150,-41498.598747
151,-38915.23396
152,-41933.412922
153,-39208.284953
154,-29720.913422
155,-29621.951034
156,-43509.353465
157,-47298.930876
158,-26481.701525
159,-41110.192829
160,-46858.331734
161,-37374.431444
162,-32441.998705
163,-39109.410568
164,-33865.770208
165,-36773.058447
166,-41847.318141
167,-31797.369414
168,-32213.317472
169,-29281.87467
170,-31579.879383
171,-26205.760603
172,-38999.576765
173,-25596.917224
174,-29227.136289
175,-25058.383812
176,-24869.309108
177,-27134.464885
178,-22822.033425
179,-32001.444086
180,-23368.141281
181,-19138.073228
182,-32203.377997
183,-24776.045732
184,-30366.134486
185,-21776.021787
186,-21652.581749
187,-28584.440704
188,-26352.329843
189,-31304.51038
190,-31834.202844
191,-29926.647829
192,-45207.300562
193,-26018.050169
194,-33646.935805
195,-36601.380133
196,-25196.813049
197,-24678.578465
198,-27304.329273
199,-30388.188322
200,-39592.411314
201,-27227.923648
202,-33333.321396
203,-27939.010932
204,-27352.66612
205,-25089.986977
206,-30862.117746
207,-24471.665225
208,-32639.748113
209,-50065.159571
210,-39774.602379
211,-28231.787397
212,-38408.445542
213,-41587.808166
214,-25879.605847
215,-37228.93535
216,-30813.987071
217,-31686.456692
218,-32061.72171
219,-27243.443798
220,-35092.002124
221,-28785.519122
222,-26315.656195
223,-43146.134158
224,-21025.610275
225,-34719.294425
226,-25902.11337
227,-36160.472396
228,-31122.793664
229,-34738.397723
230,-29047.910448
231,-31084.066487
232,-34589.854434
233,-31089.197371
234,-27812.392613
235,-30320.526283
236,-41230.980401
237,-30623.288759
238,-28636.830418
239,-28358.031479
240,-36013.30379
241,-32574.328361
242,-32695.239448
243,-36975.887048
244,-30482.713898
245,-34953.183915
246,-36050.039788
247,-30887.14679
248,-34993.890983
249,-37713.338216
250,-34055.698094
251,-35209.109315
252,-39584.988518
253,-29133.636911
254,-26608.67652
255,-34419.016133
256,-29656.708996
257,-36807.762661
258,-34921.188912
259,-37370.465895
260,-34374.221773
261,-30893.712256
262,-39743.896508
263,-35795.599204
264,-40620.607923
265,-35012.803398
266,-36524.24752
267,-44552.206131
268,-44893.33851
269,-32717.96483
270,-46560.651154
271,-30203.092256
272,-32970.959249
273,-45297.399673
274,-23997.813503
275,-23243.11336
276,-21692.049014
277,-34362.402669
278,-25535.62452
279,-17438.792397
280,-19824.960374
281,-26564.667746
282,-23582.352503
283,-30462.979072
284,-37784.509217
285,-33162.784175
286,-37258.113377
287,-36291.889258
288,-32830.537858
289,-32292.22298
290,-27490.573193
291,-32892.667836
292,-35952.446666
293,-38988.648276
294,-33514.390231
295,-32182.439851
296,-35256.895063
297,-32016.715772
298,-27842.365448
299,-35335.240952
300,-34744.669679
301,-33983.806349
302,-29236.491756
303,-35304.967613
304,-28614.737627
305,-37108.843297
306,-22684.55331
307,-29961.885389
308,-28036.364699
309,-28077.870715
310,-27686.21891
311,-32874.711178
312,-26198.43693
313,-29088.708231
314,-37685.706007
315,-32970.53136
316,-36452.314488
317,-42679.834432
318,-36601.480427
319,-41059.316719
320,-42288.846409
321,-41461.882025
322,-40265.039888
323,-42011.493325
324,-34126.648082
325,-39161.208146
326,-39584.607397
327,-39663.794198
328,-31571.507723
329,-32781.420142
330,-38016.793503
331,-40867.731106
332,-41048.273567
333,-39824.377918
334,-39416.553063
335,-27437.025621
336,-40450.574936
337,-28999.351285
338,-35910.945442
339,-30905.804146
340,-30994.733576
341,-31075.216326
342,-28842.385002
343,-36728.582228
344,-33403.229921
345,-31945.890253
346,-32920.427647
347,-42541.89244
348,-28727.585787
349,-34156.913831
350,-42169.620995
351,-31241.306193
352,-30815.341724
353,-32702.446416
354,-36354.786611
355,-35168.719697
356,-31509.196862
357,-36234.857591
358,-31864.969605
359,-33700.075559
360,-28775.74399
361,-40204.164765
362,-33397.192236
363,-24778.330867
364,-27334.039694
365,-29615.280915
366,-19653.597898
367,-34006.841866
368,-31563.565036
369,-36241.372989
370,-40001.129557
371,-29571.8009
372,-39644.547995
373,-38021.474397
374,-41827.267739
375,-30357.182395
376,-34227.783026
377,-35395.273487
378,-34090.066769
379,-36721.71454
380,-36697.421931
381,-29852.204404
382,-33394.71429
383,-33641.243177
384,-33570.886979
385,-32190.282216
386,-43700.08002
387,-29584.401392
388,-40530.607698
389,-33243.049307
390,-37665.901939
391,-40386.535772
392,-28322.194199
393,-29289.407429
394,-30473.363757
395,-35679.59929
396,-27840.794634
397,-31545.060457
398,-36493.462573
399,-34082.438752
400,-33269.422971
401,-34807.56998
402,-38405.043927
403,-31350.893529
404,-26681.976326
405,-38121.350259
406,-30980.554213
407,-32615.529134
408,-35512.509313
409,-35786.106662
410,-28944.188182
411,-27637.263341
412,-33622.880942
413,-38529.967523
414,-27682.526251
415,-34935.089074
416,-39850.059379
417,-27036.335089
418,-39406.814343
419,-25875.570373
420,-35172.525323
421,-34488.864028
422,-27758.939658
423,-37726.90311
424,-33917.941097
425,-31929.058024
426,-30066.940509
427,-39361.247304
428,-31317.951418
429,-31683.570183
430,-37151.460788
431,-30384.57102
432,-27771.018192
433,-27202.491593
434,-30459.34456
435,-27882.389931
436,-38153.029666
437,-27713.251485
438,-33652.984473
439,-24560.844262
440,-36447.907312
441,-29385.223124
442,-35365.37604
443,-30067.092761
444,-31157.88923
445,-34943.890846
446,-33980.235343
447,-26263.338467
448,-41811.716161
449,-38475.477868
450,-30378.424112
451,-56779.695857
452,-39124.002864
453,-32693.415774
454,-29355.288218
455,-35408.287875
456,-41313.737144
457,-36047.573463
458,-32811.037517
459,-39430.752733
460,-35243.240737
461,-31276.942561
462,-43031.246991
463,-32550.994563
464,-33459.518676
465,-23161.155662
466,-21626.004587
467,-32626.56789
468,-30231.5013
469,-34961.052072
470,-45313.83094
471,-23629.504022
472,-38624.625343
473,-41633.706081
474,-54110.717545
475,-45269.977804
476,-33592.236507
477,-46705.015669
478,-33416.278127
479,-26238.897082
480,-36168.387599
481,-39182.40079
482,-35152.275604
483,-40074.089643
484,-40949.846637
485,-27822.717337
486,-38137.475545
487,-27569.82494
488,-33657.275469
489,-24535.794131
490,-36694.365404
491,-29429.644803
492,-35828.619037
493,-30044.797984
494,-30902.628005
495,-34531.102011
496,-34168.953292
497,-25991.332743
498,-41599.149358
499,-38791.483258
500,-29911.604747
501,-57157.724378
502,-39041.049548
503,-32491.022266
504,-29629.211707
505,-35310.525095
506,-41281.944603
507,-36527.311896
508,-32920.189491
509,-39459.058674
510,-35631.037121
511,-31264.864872
512,-42815.985778
513,-32579.769817
514,-33418.352849
515,-23306.225348
516,-21528.947506
517,-32596.297332
518,-29799.455412
519,-35097.455746
520,-45702.327761
521,-23556.941375
522,-38957.343771
523,-42457.790406
524,-54540.414706
525,-45599.357493
526,-34426.460338
527,-46976.193007
528,-32998.359945
529,-26105.582845
530,-35693.874289
531,-40115.058914
532,-35009.813525
533,-39973.890662
534,-41229.871504
535,-53997.51283
536,-54980.368081
537,-53309.704425
538,-54437.298008
539,-53452.095755
540,-54968.771941
541,-56060.453611
542,-56729.947922
543,-53672.965745
544,-54661.218271
545,-52271.967763
546,-53017.979121
547,-61907.53042
548,-47547.32188
549,-63079.018065
550,-62415.815355
551,-56684.592959
552,-51790.898363
553,-58031.80932
554,-49053.656443
555,-50472.683249
556,-55234.39812
557,-48041.361516
558,-54668.377766
559,-55909.821736
560,-53899.247211
561,-54394.179757
562,-49836.975002
563,-50407.346057
564,-54895.191043
565,-37843.933779
566,-47940.647435
567,-39910.450463
568,-38741.404213
569,-50187.330694
570,-60852.282689
571,-59264.492772
572,-49363.783704
573,-51806.294054
574,-52269.642496
575,-54475.443995
576,-61618.940953
577,-53262.921034
578,-65358.263598
