,0.000000,1.000000,2.000000,3.000000,4.000000
0,-2.895362,0.137846,-0.280636,0.413618,-0.25262
1,-2.844793,0.095828,-0.581567,0.553337,0.026474
2,-3.147318,0.31139,-0.128561,0.589669,-0.092075
3,-3.666543,0.046945,-0.455235,0.673754,-0.324585
4,-3.027236,-0.226883,-0.519176,0.551892,-0.24866
5,-3.307032,0.053171,-0.348511,0.630417,-0.409187
6,-2.365508,0.494377,0.186562,0.658404,-0.312586
7,-3.110997,0.297814,-0.050755,0.365208,-0.396067
8,-2.822219,0.644578,-0.088344,0.471719,-0.396921
9,-2.787217,0.722378,-0.18798,0.641998,-0.363046
10,-2.381939,0.092203,-0.128323,0.683522,-0.115089
11,-2.866421,0.625692,-0.155067,0.321564,-0.426159
12,-3.112069,-0.129846,-0.68432,0.394025,-0.265217
13,-3.190413,-0.289872,-0.557447,0.430369,-0.299302
14,-3.327196,-0.051294,-0.300983,0.35021,-0.231905
15,-2.867689,0.160567,-0.184268,0.44606,-0.169483
16,-2.582138,0.613572,-0.002387,0.552943,-0.282599
17,-2.565352,0.618224,-0.043962,0.436097,-0.2564
18,-3.108725,0.086943,-0.52709,0.251509,-0.339671
19,-2.98989,0.362099,-0.37176,0.296244,-0.217925
20,-3.353575,0.405756,-0.097647,0.502633,-0.332037
21,-2.180609,0.557772,0.192993,0.62098,-0.276781
22,-3.296494,0.100288,-0.644959,0.609366,-0.21015
23,-3.072861,-0.070786,-0.517828,0.402413,-0.00812
24,-2.632026,-0.211094,-0.406322,0.448177,-0.060949
25,-3.208361,0.412684,-0.537834,0.542905,-0.325554
26,-3.35418,-0.225246,-0.632774,0.510411,-0.22204
27,-3.015806,0.113182,-0.121855,0.432871,-0.228174
28,-3.490896,-0.055445,-0.628055,0.29359,-0.450356
29,-3.962467,-0.19641,-0.654545,0.455183,-0.354182
30,-3.022992,-0.076226,-0.529957,0.45891,-0.375052
31,-3.415691,-0.390233,-0.495343,0.580005,-0.212519
32,-2.981533,0.401743,-0.281564,0.579066,-0.252647
33,-3.049727,-0.319192,-0.389962,0.612023,-0.4224
34,-3.04938,0.448641,-0.590817,0.473883,-0.386941
35,-3.641028,0.791573,-0.300825,0.318695,-0.114143
36,-1.921129,0.657586,0.063657,0.570227,-0.270991
37,-2.280767,0.769105,0.182803,0.489108,-0.269852
38,-3.085289,-0.152271,-0.693317,0.56649,-0.416062
39,-3.574112,-0.021556,-0.779803,0.416412,-0.240538
40,-2.783593,0.371166,-0.217494,0.412383,-0.559087
41,-3.909064,0.022088,-0.980305,0.190044,-0.152603
42,-3.052972,-0.046094,-0.037031,0.617806,-0.169877
43,-3.686731,-0.180075,-0.381283,0.608453,-0.279156
44,-3.852633,0.135835,-0.721514,0.399057,-0.709423
45,-2.686125,0.03381,-0.272837,0.460305,0.037684
46,-2.587101,0.718693,-0.155896,0.616225,-0.377385
47,-3.778991,0.222583,-0.403414,0.471433,-0.559891
48,-2.791722,-0.054575,-0.600664,0.607746,-0.308246
49,-2.388626,0.581604,0.058888,0.634255,-0.111228
50,-3.278356,-0.27023,-0.224699,0.4376,-0.405724
51,-2.855074,0.680037,0.017606,0.384354,-0.443809
52,-2.540764,0.676094,0.112572,0.526117,-0.335555
53,-3.142132,-0.063271,-0.403596,0.615635,0.024981
54,-3.124781,-0.282205,-0.566046,0.256061,-0.115283
55,-3.682291,-0.192042,-0.751114,0.400831,-0.405552
56,-2.932261,0.013455,-0.568034,0.577674,-0.154494
57,-2.603579,0.162733,-0.12423,0.594724,-0.070498
58,-3.022345,0.210655,-0.60032,0.62587,-0.478002
59,-3.208572,0.062512,-0.576303,0.456672,-0.156335
60,-2.857432,-0.073443,-0.632013,0.511582,-0.339939
61,-3.296149,0.505302,-0.387431,0.330769,-0.646108
62,-2.286025,0.595592,0.011428,0.622689,-0.198531
63,-3.283712,-0.074295,-0.611072,0.323851,-0.209293
64,-2.553776,-0.084916,-0.662978,0.479236,-0.264638
65,-3.191501,0.109957,-0.41706,0.455825,-0.460491
66,-3.299503,-0.226544,-0.690958,0.416709,-0.347047
67,-3.22928,0.132104,-0.485224,0.46256,-0.256047
68,-3.102173,-0.073876,-0.340903,0.325716,-0.320625
69,-3.518542,0.459044,-0.374766,0.242193,-0.423738
70,-3.56448,-0.004891,-0.692715,0.356503,-0.167478
71,-3.08414,-0.100108,-0.490333,0.569472,-0.266349
72,-1.789404,0.232889,-0.015678,0.450594,0.035971
73,-3.540238,-0.282966,-0.489117,0.515169,-0.213724
74,-3.101465,0.363729,-0.351455,0.389095,-0.183643
75,-3.122487,0.207534,-0.767174,0.202821,-0.234055
76,-3.555193,-0.195918,-0.666087,0.504177,-0.263724
77,-2.998248,0.692454,0.10088,0.558163,-0.332494
78,-3.501017,0.43865,-0.21516,0.539923,-0.34261
79,-2.805044,-0.339732,-0.240324,0.546914,0.009587
80,-2.732836,-0.141094,-0.164127,0.815354,0.103536
81,-3.685915,-0.10652,-0.586644,0.46656,-0.313474
82,-3.209113,0.154042,-0.535888,0.618469,-0.240771
83,-3.005245,0.284625,-0.396953,0.420948,-0.340877
84,-2.762537,0.66984,-0.126103,0.437616,-0.393438
85,-2.9893,0.007793,-0.527965,0.482295,-0.09892
86,-2.458021,0.197458,-0.253548,0.592415,-0.175238
87,-2.545246,0.29489,-0.340576,0.136475,-0.243753
88,-2.615535,0.582709,0.062044,0.494577,-0.247581
89,-3.856139,0.110258,-0.49894,0.084259,-0.558866
90,-2.7926,-0.017843,-0.312007,0.430616,-0.142617
91,-2.931617,0.117845,-0.56052,0.183129,-0.122108
92,-3.742007,-0.280303,-0.724791,0.152805,-0.585493
93,-2.424664,0.085465,-0.48899,0.509877,-0.001524
94,-3.421505,0.05995,-0.605731,0.256114,-0.440554
95,-3.485293,0.028418,-0.721611,0.206674,-0.26038
96,-2.71642,0.548564,-0.023419,0.557653,-0.19144
97,-2.438915,0.652813,0.022847,0.555318,-0.264751
98,-2.281177,0.636764,0.062912,0.422423,0.042461
99,-3.653465,0.008426,-0.428661,0.201889,-0.292998
100,-2.466679,0.565497,-0.11012,0.575913,-0.134863
101,-3.500584,-0.065649,-0.491526,0.484272,-0.267055
102,-3.331575,0.186439,-0.461008,0.449169,-0.448652
103,-3.501745,0.546903,-0.109205,0.206701,-0.278625
104,-3.505986,-0.36356,-0.486143,0.371754,-0.344338
105,-2.541518,0.060025,-0.167729,0.394391,-0.032646
106,-2.40246,0.824825,0.282222,0.430102,-0.08946
107,-2.533535,0.796865,-0.083857,0.325822,-0.411206
108,-2.79979,-0.057999,-0.47548,0.51655,-0.040835
109,-2.709939,0.812795,-0.107829,0.513339,-0.287885
110,-2.482594,0.37302,0.013591,0.504174,-0.234083
111,-3.148215,0.127473,-0.436319,0.444447,-0.552137
112,-3.291288,0.729941,-0.373141,0.356493,-0.225458
113,-2.33424,0.057962,0.043405,0.521086,-0.222661
114,-2.979141,0.532767,-0.207768,0.474375,-0.360374
115,-2.964811,-0.181301,-0.257807,0.41847,-0.19916
116,-2.724717,0.372822,-0.120493,0.528909,-0.438799
117,-2.949029,-0.088274,-0.636731,0.689936,-0.301526
118,-3.227125,-0.17895,-0.431774,0.519527,-0.239271
119,-2.581712,0.641594,0.124414,0.673886,-0.217157
120,-2.981517,-0.145824,-0.703228,0.539125,-0.191209
121,-3.210456,0.113622,-0.498777,0.51287,-0.331587
122,-2.727297,0.284916,-0.206229,0.565705,-0.23543
123,-3.232981,-0.265832,-0.662988,0.652779,-0.348833
124,-3.411554,0.211411,-0.561494,0.254647,-0.542714
125,-2.396943,0.606114,0.033758,0.573973,-0.249138
126,-3.182684,0.686835,-0.14005,0.430052,-0.247105
127,-3.069804,0.37268,-0.020324,0.434058,-0.284903
128,-2.865175,0.368071,-0.104099,0.45813,-0.309911
129,-3.12017,-0.41087,-0.519405,0.437339,-0.435865
130,-1.95724,0.174429,-0.121934,0.495422,0.109018
131,-2.939877,0.476524,-0.417994,0.336406,-0.068064
132,-3.365829,0.529712,-0.075837,0.515025,-0.462955
133,-3.450823,-0.023053,-0.919254,0.260529,-0.31236
134,-2.437776,-0.119145,-0.268194,0.606845,-0.267249
135,-3.497746,-0.158127,-0.510017,0.31743,-0.248609
136,-3.203404,0.612669,-0.244748,0.338324,-0.279325
