,0.000000,1.000000,2.000000,3.000000,4.000000
0,-9.431685,1.79218,-0.209539,0.304951,-0.068706
1,-10.926982,-0.328155,2.263019,0.735254,-0.619572
2,-7.638959,1.793909,-0.652729,-0.214788,-0.054806
3,-9.158927,1.517064,0.944111,0.785777,-0.617597
4,-8.772787,1.397691,0.051984,-0.271324,-0.147107
5,-6.732066,2.200503,-0.908605,-0.60073,0.277494
6,-5.63799,2.555349,-0.791004,-0.253895,-0.082538
7,-6.903706,-0.016472,2.104713,1.53568,-1.007287
8,-5.410109,2.13197,-1.206553,0.240304,0.395013
9,-6.733595,2.108702,-0.632352,-0.192339,0.132972
10,-8.425596,0.950263,0.8314,1.190298,-0.281984
11,-5.935847,1.85561,-1.449514,0.29825,0.385611
12,-7.103082,1.719012,-0.714926,-0.318353,-0.046812
13,-6.341462,1.823134,-1.181633,-0.078546,0.283047
14,-9.555511,0.889106,-0.765446,0.067991,-0.615586
15,-9.162464,-0.021433,-1.194978,1.118688,-0.151675
16,-8.181113,1.677261,-0.875119,-0.490832,0.09558
17,-9.261958,1.738485,-0.861055,0.022554,-0.140013
18,-6.579643,1.56202,-1.108608,0.00071,-0.076113
19,-7.326219,2.623128,-0.956663,0.140907,0.321246
20,-7.76952,1.961783,-0.84221,0.150006,-0.061169
21,-7.96618,2.124135,-1.142787,-0.433835,0.582271
22,-7.647421,-0.158974,0.346098,-0.196149,-0.893491
23,-8.824115,1.128812,-1.475685,-0.564826,0.29108
24,-8.876986,1.901381,-2.090317,-0.653282,0.431284
25,-9.798562,2.138322,-0.916261,-0.409874,0.086581
26,-10.718568,0.504763,0.278098,-0.362639,-0.268162
27,-10.806361,2.558416,-0.952709,-0.77752,-0.058018
28,-11.444632,0.853556,-0.78588,-1.138079,-0.388565
29,-9.557764,1.091439,-1.081689,0.194822,-0.258861
30,-11.521861,0.80295,-0.604975,-1.151417,-0.086905
31,-10.291297,0.620111,-1.386337,-1.137877,0.080651
32,-8.52161,2.127556,-1.226889,-0.568359,0.188753
33,-7.142797,1.356558,-2.216265,-0.172621,0.521702
34,-7.159035,1.53042,-0.425473,1.298872,-0.315609
35,-9.026747,1.460737,0.388165,0.404737,-0.305889
36,-8.038875,1.178456,0.237753,0.068148,-0.5446
37,-9.462973,0.392997,0.750817,1.209853,-0.887874
38,-7.242805,1.547854,-0.318169,-0.079149,0.083831
39,-8.917117,1.68685,-0.324641,-0.403092,-0.191418
40,-5.555951,1.952436,-0.551225,0.166832,-0.048035
41,-5.605044,1.239462,-0.541991,0.363551,-0.049515
42,-10.802527,1.227949,-0.009857,0.341522,-0.376068
43,-7.237444,0.876755,0.010225,0.047101,-0.072823
44,-9.08221,-0.16314,0.787197,1.200381,-0.260863
45,-9.070857,1.324217,-0.653506,-0.811365,1.715077
46,-9.556684,-0.304924,0.509535,-0.112229,0.977676
47,-8.865975,0.425088,-1.491587,0.618044,1.263372
48,-7.926737,0.99617,-0.629238,-0.156906,2.234109
49,-11.593642,0.679197,0.875985,-1.201077,0.981462
50,-13.844894,1.020851,0.815216,-1.082141,1.074713
51,-8.857612,1.352275,-0.066669,-1.151511,0.496157
52,-12.821202,0.961765,0.74286,-1.331862,0.96985
53,-7.95343,2.22887,-1.23843,-0.332355,1.053796
54,-7.008619,1.98872,-0.949679,-0.594534,1.877272
55,-8.656379,1.74809,-0.072452,-0.343906,0.702386
56,-3.603179,2.388653,-1.453865,0.346205,0.44916
57,-7.784835,2.028783,-1.107836,-0.084861,-0.16964
58,-8.621769,1.433207,0.126947,-0.304434,-0.256404
59,-4.155223,2.046347,-1.170405,0.524398,0.021898
60,-4.007729,2.363923,-1.252865,0.533315,0.197089
61,-7.006508,1.527481,-0.325596,-0.166798,-0.295249
62,-3.253069,2.461165,-1.233619,0.628999,0.260154
63,-9.68997,0.535741,0.074489,-0.432663,-0.159211
64,-7.44339,1.811449,-0.436432,-0.109342,-0.147493
65,-5.807509,1.32359,-0.800542,0.52089,-0.152444
66,-8.08894,0.352368,0.08084,0.209835,-0.836586
67,-7.647727,0.008109,2.035549,1.875474,-0.712741
68,-11.603305,0.800686,1.070228,-0.009301,-0.409937
69,-9.863747,1.471615,0.366334,-0.099959,-0.748477
70,-7.611654,1.70784,-0.020928,0.571062,0.001909
71,-9.022646,1.799835,0.1684,0.190862,-0.335834
72,-6.15389,1.71181,-0.236535,-0.081449,-0.012927
73,-11.750983,-0.172254,1.563299,-0.120583,-0.667788
74,-7.489702,1.462671,-0.358496,0.563578,0.02883
75,-10.090536,1.275336,0.697276,-0.399514,0.002167
76,-6.0652,2.176,-0.291013,1.070757,0.087409
77,-6.829713,2.326693,-0.924071,0.413957,0.275997
78,-7.921956,1.825086,0.728679,0.751148,-0.472572
79,-9.692939,0.640572,1.71379,-0.147461,-1.35921
80,-9.409627,0.481097,1.392422,0.183771,-1.311107
81,-9.477552,0.595832,1.42999,0.233912,-1.223047
82,-10.968871,1.073037,0.431746,-0.203981,-0.713265
83,-10.181338,1.609311,-1.020787,0.731178,0.090314
84,-8.168276,0.895335,0.401211,1.381561,-0.125146
85,-8.061319,0.076243,0.946554,1.09155,-0.649199
86,-8.481843,2.586606,-0.630273,-0.154793,-0.072318
87,-5.283324,2.377848,-0.84201,0.15676,0.238529
88,-6.534865,2.347823,-0.548345,-0.233848,-0.08815
89,-5.970807,1.491536,-0.450746,0.857586,0.034333
90,-8.081331,0.976398,-0.283114,0.238924,-0.422307
91,-4.878516,2.107018,-0.56379,0.624805,0.045566
92,-8.561006,1.231037,-0.035454,-0.335856,-0.243299
93,-7.174876,1.009507,-1.029285,0.308186,0.148545
94,-4.498447,2.463544,-0.958638,0.460702,-0.034328
95,-6.732727,1.168466,-0.444269,0.298613,0.071667
96,-6.65279,1.15053,-0.280016,0.660097,-0.171984
97,-8.641471,2.031275,-0.924188,-0.70963,0.146337
98,-8.303284,2.090765,-1.083812,-0.471997,0.190555
99,-10.272711,0.744329,-1.394797,-0.213468,0.008095
100,-7.525528,0.913969,-1.735736,-0.280367,0.849253
101,-8.94485,1.906755,-0.378769,-0.032976,-0.449848
102,-8.011089,1.606305,-0.928874,-0.032152,0.273785
103,-8.905809,1.648003,-1.048136,-0.46339,-0.203065
104,-9.666507,1.175543,-0.717968,0.427677,-0.078811
105,-9.877001,1.56492,-0.578755,-0.763384,-0.051462
106,-8.273033,1.110303,-0.868766,-0.188355,-0.099927
107,-13.638684,-0.482612,-0.164502,-1.196031,-0.253118
108,-9.11827,0.406285,-1.176883,-0.596179,-0.11872
109,-6.584187,1.654881,-2.38506,-0.106763,0.432735
110,-8.916295,0.767808,-0.876214,-0.208852,-0.038245
111,-10.474962,-0.042091,-0.327164,-0.258779,-0.458511
112,-5.732706,2.048219,-2.159444,0.11747,0.319847
113,-10.047198,0.818481,-0.858666,0.144471,0.392876
114,-8.962475,1.120746,-1.240114,0.09576,-0.294139
115,-13.095075,-0.08465,-0.488698,-0.830932,0.284877
116,-9.302843,0.533107,-1.515966,0.475546,-0.195483
117,-6.397809,1.48342,-1.878156,-0.172268,0.327976
118,-10.173716,0.338443,-1.658117,0.22049,0.127399
119,-9.355732,1.709307,-0.542495,0.299296,-0.776541
120,-9.479673,1.467409,-0.040356,0.034641,1.073207
121,-11.882692,2.107256,-0.180591,-1.226937,0.808883
122,-9.142531,1.072048,-0.051308,0.247779,1.294725
123,-8.993611,0.992097,1.134403,-0.119003,0.860703
124,-10.996609,1.374809,0.316507,-0.415857,0.536765
125,-7.770486,1.714425,0.182176,0.333766,0.707932
126,-9.532699,1.886339,0.083123,0.272445,-0.060415
127,-10.174097,0.353067,0.29439,0.659511,0.300439
128,-6.862255,2.417663,0.067564,0.321931,1.015404
129,-5.733109,1.745354,-0.87048,0.021454,1.379807
130,-9.211884,1.530831,0.005183,-0.702205,1.473536
131,-8.354233,-0.767438,0.799912,0.951199,-0.878725
132,-6.472486,2.428934,-2.223371,-0.172565,0.635305
133,-6.403102,1.375768,-1.695857,0.153413,0.408599
134,-8.238564,0.457171,-0.168598,0.06735,-0.255352
135,-8.157865,1.294211,-1.689835,0.244829,0.078512
